,year_month_day_hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wf
0,2013-03-01 02:00:00,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,4.0
1,2013-03-01 05:00:00,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,4.0
2,2013-03-01 06:00:00,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,4.0
3,2013-03-01 07:00:00,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,2.5
4,2013-03-01 08:00:00,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,2.5
5,2013-03-01 09:00:00,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,2.5
6,2013-03-01 13:00:00,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,2.5
7,2013-03-01 23:00:00,6.0,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,0.0,4.0
8,2013-03-02 00:00:00,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,0.0,2.5
9,2013-03-02 01:00:00,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,0.0,4.0
10,2013-03-02 02:00:00,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,0.0,4.0
11,2013-03-02 03:00:00,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,0.0,4.0
12,2013-03-02 04:00:00,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,0.0,4.0
13,2013-03-02 05:00:00,39.0,55.0,22.0,70.0,1200.0,2.0,-3.5,1026.9,-16.8,0.0,4.0
14,2013-03-02 06:00:00,41.0,45.0,16.0,65.0,1000.0,4.0,-3.5,1026.1,-15.8,0.0,4.0
15,2013-03-02 07:00:00,52.0,32.0,13.0,56.0,800.0,8.0,-3.3,1026.7,-14.4,0.0,4.0
16,2013-03-02 08:00:00,36.0,18.0,16.0,52.0,900.0,12.0,-2.0,1026.4,-15.1,0.0,4.0
17,2013-03-02 09:00:00,27.0,41.0,18.0,43.0,900.0,20.0,-0.2,1026.3,-16.6,0.0,4.0
18,2013-03-02 10:00:00,29.0,38.0,20.0,35.0,600.0,42.0,0.6,1025.8,-17.2,0.0,4.0
19,2013-03-02 11:00:00,19.0,12.0,22.0,38.0,600.0,43.0,1.3,1025.4,-17.1,0.0,4.0
20,2013-03-02 12:00:00,28.0,32.0,32.0,56.0,700.0,32.0,1.9,1024.2,-17.1,0.0,4.0
21,2013-03-02 13:00:00,30.0,41.0,27.0,42.0,600.0,45.0,2.3,1022.6,-17.3,0.0,4.0
22,2013-03-02 14:00:00,26.0,29.0,30.0,48.0,700.0,43.0,3.0,1021.9,-17.3,0.0,4.0
23,2013-03-02 15:00:00,32.0,36.0,37.0,56.0,800.0,39.0,2.9,1020.9,-16.8,0.0,4.0
24,2013-03-02 16:00:00,39.0,44.0,42.0,64.0,900.0,33.0,2.5,1020.6,-17.1,0.0,4.0
25,2013-03-02 17:00:00,43.0,54.0,44.0,70.0,900.0,27.0,2.1,1020.2,-16.4,0.0,4.0
26,2013-03-02 18:00:00,48.0,60.0,45.0,80.0,1000.0,19.0,1.5,1020.4,-16.0,0.0,4.0
27,2013-03-02 19:00:00,46.0,64.0,36.0,80.0,1000.0,11.0,0.3,1020.0,-15.3,0.0,4.0
28,2013-03-02 20:00:00,45.0,66.0,30.0,79.0,1200.0,6.0,0.0,1019.9,-15.2,0.0,4.0
29,2013-03-02 21:00:00,50.0,68.0,36.0,82.0,1200.0,4.0,-1.2,1019.7,-13.7,0.0,4.0
30,2013-03-02 22:00:00,56.0,73.0,26.0,76.0,1200.0,4.0,-2.1,1019.1,-13.3,0.0,4.0
31,2013-03-02 23:00:00,55.0,66.0,25.0,76.0,1200.0,3.0,-2.2,1018.2,-13.4,0.0,4.0
32,2013-03-03 00:00:00,60.0,60.0,26.0,77.0,1200.0,2.0,-2.4,1017.4,-13.0,0.0,4.0
33,2013-03-03 01:00:00,59.0,63.0,21.0,72.0,1100.0,2.0,-3.8,1016.5,-12.2,0.0,4.0
34,2013-03-03 05:00:00,48.0,55.0,19.0,66.0,1100.0,3.0,-5.6,1013.2,-13.0,0.0,4.0
35,2013-03-03 06:00:00,53.0,55.0,19.0,69.0,1300.0,2.0,-5.7,1013.2,-13.1,0.0,4.0
36,2013-03-03 07:00:00,53.0,59.0,15.0,67.0,1000.0,2.0,-3.3,1013.5,-12.8,0.0,4.0
37,2013-03-03 08:00:00,50.0,56.0,22.0,62.0,1200.0,8.0,-0.3,1012.8,-11.4,0.0,4.0
38,2013-03-03 09:00:00,60.0,78.0,33.0,60.0,1500.0,16.0,3.4,1012.5,-12.6,0.0,4.0
39,2013-03-03 10:00:00,73.0,87.0,41.0,61.0,1200.0,24.0,6.5,1011.4,-12.2,0.0,4.0
40,2013-03-03 11:00:00,76.0,101.0,49.0,64.0,1200.0,27.0,9.0,1010.4,-11.6,0.0,4.0
41,2013-03-03 12:00:00,75.0,102.0,64.0,75.0,1500.0,27.0,12.2,1009.1,-13.7,0.0,4.0
42,2013-03-03 13:00:00,92.0,147.0,51.0,58.0,1100.0,38.0,15.6,1007.5,-13.8,0.0,2.0
43,2013-03-03 14:00:00,79.0,147.0,23.0,27.0,600.0,65.0,16.6,1006.9,-14.1,0.0,2.0
44,2013-03-03 15:00:00,44.0,105.0,4.0,3.0,200.0,86.0,17.0,1006.8,-14.9,0.0,4.0
45,2013-03-03 19:00:00,11.0,46.0,3.0,2.0,200.0,83.0,8.9,1010.0,-13.5,0.0,4.0
46,2013-03-03 20:00:00,5.0,42.0,3.0,2.0,200.0,82.0,7.7,1010.1,-12.2,0.0,4.0
47,2013-03-03 21:00:00,12.0,34.0,3.0,2.0,200.0,79.0,6.9,1010.6,-12.3,0.0,4.0
48,2013-03-03 22:00:00,4.0,31.0,7.0,8.0,500.0,61.0,6.8,1011.2,-11.9,0.0,4.0
49,2013-03-03 23:00:00,14.0,38.0,4.0,4.0,300.0,68.0,8.6,1012.1,-11.4,0.0,4.0
50,2013-03-04 06:00:00,8.0,3.0,3.0,4.0,200.0,79.0,4.2,1016.1,-12.3,0.0,2.5
51,2013-03-04 07:00:00,7.0,19.0,8.0,7.0,300.0,71.0,6.3,1016.8,-12.3,0.0,4.0
52,2013-03-04 08:00:00,4.0,15.0,10.0,8.0,300.0,69.0,8.9,1017.4,-12.9,0.0,4.0
53,2013-03-04 09:00:00,5.0,16.0,13.0,8.0,300.0,70.0,10.2,1017.6,-13.8,0.0,2.5
54,2013-03-04 10:00:00,8.0,17.0,13.0,7.0,300.0,74.0,11.4,1017.1,-14.4,0.0,2.5
55,2013-03-04 11:00:00,7.0,11.0,6.0,4.0,300.0,80.0,12.7,1016.6,-15.1,0.0,2.5
56,2013-03-04 12:00:00,5.0,6.0,5.0,3.0,200.0,84.0,14.6,1015.4,-14.6,0.0,2.5
57,2013-03-04 13:00:00,10.0,7.0,6.0,4.0,300.0,86.0,15.1,1014.2,-15.2,0.0,2.5
58,2013-03-04 14:00:00,13.0,11.0,10.0,6.0,300.0,88.0,16.1,1013.1,-16.9,0.0,2.5
59,2013-03-04 15:00:00,16.0,18.0,9.0,6.0,300.0,91.0,16.1,1012.5,-16.9,0.0,4.0
60,2013-03-04 16:00:00,18.0,20.0,6.0,6.0,300.0,90.0,14.8,1012.0,-14.4,0.0,2.5
61,2013-03-04 17:00:00,18.0,16.0,5.0,5.0,300.0,92.0,12.9,1012.4,-14.0,0.0,2.5
62,2013-03-04 18:00:00,10.0,10.0,12.0,30.0,600.0,79.0,11.3,1012.7,-13.7,0.0,4.0
63,2013-03-04 19:00:00,39.0,80.0,19.0,46.0,800.0,63.0,8.7,1013.2,-12.5,0.0,4.0
64,2013-03-04 20:00:00,41.0,80.0,18.0,44.0,900.0,49.0,5.9,1013.4,-11.7,0.0,4.0
65,2013-03-04 21:00:00,60.0,74.0,18.0,38.0,800.0,50.0,4.9,1013.4,-11.7,0.0,4.0
66,2013-03-04 22:00:00,50.0,71.0,22.0,38.0,1000.0,45.0,4.0,1013.2,-11.6,0.0,4.0
67,2013-03-04 23:00:00,50.0,70.0,19.0,33.0,900.0,92.0,4.2,1012.6,-11.5,0.0,4.0
68,2013-03-05 00:00:00,52.0,64.0,18.0,30.0,800.0,92.0,2.8,1012.1,-11.2,0.0,4.0
69,2013-03-05 01:00:00,56.0,58.0,14.0,25.0,800.0,92.0,1.8,1011.7,-11.0,0.0,4.0
70,2013-03-05 02:00:00,50.0,54.0,16.0,26.0,700.0,92.0,0.8,1011.4,-10.7,0.0,4.0
71,2013-03-05 03:00:00,88.0,54.0,16.0,30.0,800.0,92.0,0.2,1011.0,-10.4,0.0,4.0
72,2013-03-05 04:00:00,53.0,57.0,15.0,30.0,800.0,92.0,-0.1,1010.7,-10.1,0.0,4.0
73,2013-03-05 05:00:00,46.0,55.0,13.0,23.0,700.0,92.0,-0.4,1010.9,-9.6,0.0,4.0
74,2013-03-05 06:00:00,43.0,50.0,15.0,26.0,600.0,92.0,-1.0,1010.6,-9.4,0.0,4.0
75,2013-03-05 07:00:00,47.0,57.0,17.0,38.0,700.0,92.0,1.2,1010.4,-9.4,0.0,4.0
76,2013-03-05 08:00:00,52.0,64.0,16.0,33.0,700.0,92.0,6.0,1010.1,-10.7,0.0,4.0
77,2013-03-05 09:00:00,52.0,72.0,23.0,30.0,800.0,92.0,7.8,1009.5,-10.6,0.0,4.0
78,2013-03-05 10:00:00,69.0,90.0,30.0,46.0,1000.0,92.0,9.3,1008.7,-9.3,0.0,4.0
79,2013-03-05 11:00:00,79.0,95.0,51.0,76.0,1300.0,92.0,11.0,1007.8,-9.4,0.0,4.0
80,2013-03-05 12:00:00,102.0,138.0,74.0,100.0,1600.0,30.0,12.1,1006.5,-9.0,0.0,4.0
81,2013-03-05 13:00:00,126.0,164.0,55.0,70.0,1300.0,92.0,13.2,1005.1,-8.1,0.0,4.0
82,2013-03-05 14:00:00,131.0,150.0,50.0,61.0,1200.0,92.0,14.1,1004.3,-8.6,0.0,4.0
83,2013-03-05 15:00:00,139.0,142.0,59.0,64.0,1399.0,92.0,13.5,1004.1,-8.4,0.0,4.0
84,2013-03-05 16:00:00,152.0,173.0,58.0,79.0,1399.0,92.0,13.3,1003.9,-8.0,0.0,4.0
85,2013-03-05 17:00:00,154.0,181.0,62.0,99.0,1600.0,82.0,12.4,1004.5,-8.2,0.0,4.0
86,2013-03-05 18:00:00,165.0,194.0,59.0,100.0,1600.0,82.0,8.9,1005.0,-7.8,0.0,4.0
87,2013-03-05 19:00:00,179.0,200.0,50.0,96.0,1600.0,82.0,7.7,1005.4,-7.6,0.0,4.0
88,2013-03-05 20:00:00,172.0,180.0,43.0,94.0,1899.0,82.0,6.3,1005.9,-7.3,0.0,4.0
89,2013-03-05 21:00:00,179.0,191.0,38.0,80.0,1700.0,82.0,5.6,1006.0,-7.3,0.0,4.0
